"id","name","host_id","neighbourhood","latitude","longitude","room_type","price","number_of_reviews","host_listings","availability","rating","ward","availability_price","number_of_reviews_ltm"
3686,"Vita's Hideaway",4645,"Historic Anacostia",38.86339,-76.98889,"Private room",55,75,2,363,92,"Ward 8",19965,3
3943,"Historic Rowhouse Near Monuments",5059,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91195,-77.00456,"Private room",70,429,2,365,96,"Ward 5",25550,0
4197,"Bedroom in DC 2 blocks to Metro",5061,"Capitol Hill, Lincoln Park",38.88719,-76.99472,"Private room",80,45,2,324,97,"Ward 6",25920,0
4529,"Bertina's  House Part One",5803,"Eastland Gardens, Kenilworth",38.90585,-76.94469,"Private room",54,102,1,140,93,"Ward 7",7560,0
4967,"DC, Near Metro",7086,"Ivy City, Arboretum, Trinidad, Carver Langston",38.91217,-76.99249,"Private room",99,31,3,295,95,"Ward 5",29205,0
5589,"Cozy apt in Adams Morgan",6527,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91887,-77.04008,"Entire home/apt",73,95,2,123,91,"Ward 1",8979,0
7103,"Best of Washington - Great neighborhood, parking",17633,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.91999,-77.09774,"Entire home/apt",99,88,30,197,97,"Ward 3",19503,1
9097,"Adams Morgan Charm",6527,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91966,-77.04306,"Private room",42,112,2,26,97,"Ward 1",1092,0
9641,"Sophisticated Logan Circle Loft",32067,"Dupont Circle, Connecticut Avenue/K Street",38.90927,-77.03471,"Entire home/apt",185,154,2,67,95,"Ward 2",12395,1
11785,"Sanctuary near Cathedral",32015,"Cathedral Heights, McLean Gardens, Glover Park",38.92622,-77.07591,"Entire home/apt",127,397,4,347,92,"Ward 3",44069,9
12442,"Peaches & Cream near Cathedral",32015,"Cathedral Heights, McLean Gardens, Glover Park",38.92756,-77.07667,"Private room",60,95,4,356,93,"Ward 3",21360,2
13744,"Heart of the City -HalfBlock to METRO, Restaurants",53927,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92836,-77.03136,"Entire home/apt",125,27,1,0,98,"Ward 1",0,2
14218,"Quiet Comfort near Nat'l Cathedral",32015,"Cathedral Heights, McLean Gardens, Glover Park",38.92668,-77.07686,"Private room",60,92,4,323,94,"Ward 3",19380,1
14570,"Downtown Spacious Bedroom & Private Bath",56646,"Shaw, Logan Circle",38.90595,-77.02564,"Private room",90,554,1,141,97,"Ward 2",12690,0
16684,"Capitol Hill Guest Suite",64814,"Union Station, Stanton Park, Kingman Park",38.89868,-77.00227,"Entire home/apt",89,172,1,248,98,"Ward 6",22072,2
17131,"The Loft near National Cathedral",32015,"Cathedral Heights, McLean Gardens, Glover Park",38.92644,-77.07646,"Private room",60,82,4,355,93,"Ward 3",21300,0
20067,"Embassy Row /Glover Park with Free Parking",75938,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.92491,-77.06754,"Private room",51,126,1,0,95,"Ward 3",0,10
22453,"Elegant Logan Circle Loft Share",32067,"Dupont Circle, Connecticut Avenue/K Street",38.91086,-77.03476,"Shared room",90,98,2,84,96,"Ward 2",7560,1
25243,"The Smithsonian Vacation House",104340,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.88107,-77.01891,"Entire home/apt",379,25,2,348,92,"Ward 6",131892,1
26147,"Beautiful Cozy Full  Bed Room",5782,"Brightwood Park, Crestwood, Petworth",38.95528,-77.03463,"Private room",41,9,1,365,90,"Ward 4",14965,0
27281,"Capitol Hill H Street 1BR Apt :)",117099,"Union Station, Stanton Park, Kingman Park",38.90053,-76.99133,"Entire home/apt",645,15,1,364,95,"Ward 6",234780,0
32087,"American Guest House - Room 301",138459,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91766,-77.04598,"Private room",155,15,12,365,97,"Ward 1",56575,0
